,Training Data,Metrics,Proposed+confeature,Proposed+conSegmentation,Proposed+conClassifier,Proposed+withoutFeature,Proposed
0,60,accuracy,0.918968825,0.880311751,0.880647482,0.880335731,0.94942446
1,60,sensitivity,0.594821386,0.401582354,0.403260609,0.40170223,0.747063054
2,60,specificity,0.954994804,0.933518079,0.933704602,0.933531402,0.971915052
3,60,precision,0.594964029,0.401678657,0.403357314,0.401798561,0.747242206
4,60,f_measure,0.594892699,0.4016305,0.403308956,0.40175039,0.74715262
5,60,mcc,0.549874785,0.335136146,0.337001122,0.335269359,0.71905473
6,60,npv,0.954969358,0.933493205,0.933679723,0.933506528,0.971889155
7,60,fpr,0.045005196,0.066481921,0.066295398,0.066468598,0.028084948
8,60,fnr,0.405178614,0.598417646,0.596739391,0.59829777,0.252936946
9,60,fdr,0.405035971,0.598321343,0.596642686,0.598201439,0.252757794
10,70,accuracy,0.916879795,0.892647059,0.900863171,0.900543478,0.959654731
11,70,sensitivity,0.584372004,0.463247044,0.504314477,0.502716523,0.798178332
12,70,specificity,0.95383823,0.94037512,0.944939789,0.944762175,0.977602927
13,70,precision,0.584558824,0.463395141,0.504475703,0.502877238,0.798433504
14,70,f_measure,0.584465399,0.46332108,0.504395078,0.502796868,0.798305897
15,70,mcc,0.538286697,0.403679506,0.449318092,0.447542272,0.775891474
16,70,npv,0.953804348,0.940341716,0.944906223,0.944728616,0.977568201
17,70,fpr,0.04616177,0.05962488,0.055060211,0.055237825,0.022397073
18,70,fnr,0.415627996,0.536752956,0.495685523,0.497283477,0.201821668
19,70,fdr,0.415441176,0.536604859,0.495524297,0.497122762,0.201566496
20,80,accuracy,0.91616307,0.902685851,0.914724221,0.903069544,0.96882494
21,80,sensitivity,0.580776606,0.513422819,0.57358581,0.515340364,0.843959732
22,80,specificity,0.953448092,0.94596035,0.952648689,0.946173524,0.982706246
23,80,precision,0.581055156,0.513669065,0.573860911,0.51558753,0.844364508
24,80,f_measure,0.580915848,0.513545912,0.573723328,0.515463918,0.844162071
25,80,mcc,0.534338556,0.459481075,0.526346654,0.461612249,0.826842163
26,80,npv,0.953397282,0.945909939,0.952597922,0.946123102,0.982653877
27,80,fpr,0.046551908,0.05403965,0.047351311,0.053826476,0.017293754
28,80,fnr,0.419223394,0.486577181,0.42641419,0.484659636,0.156040268
29,80,fdr,0.418944844,0.486330935,0.426139089,0.48441247,0.155635492
30,90,accuracy,0.91616307,0.913764988,0.918081535,0.911366906,0.978417266
31,90,sensitivity,0.580737901,0.568758984,0.590321035,0.556780067,0.891710589
32,90,specificity,0.953472259,0.95213985,0.954538187,0.95080744,0.988061611
33,90,precision,0.581294964,0.569304556,0.59088729,0.557314149,0.892565947
34,90,f_measure,0.581016299,0.56903164,0.590604027,0.55704698,0.892138063
35,90,mcc,0.534437832,0.521120832,0.545091432,0.507803833,0.880147145
36,90,npv,0.953370637,0.952038369,0.954436451,0.950706102,0.987956302
37,90,fpr,0.046527741,0.04786015,0.045461813,0.04919256,0.011938389
38,90,fnr,0.419262099,0.431241016,0.409678965,0.443219933,0.108289411
39,90,fdr,0.418705036,0.430695444,0.40911271,0.442685851,0.107434053
