,LSTM,CNN,DNN,SVM,KNN,LinkNet,BiLSTM,PROP
accuracy,0.916546763,0.925947242,0.916258993,0.91971223,0.919232614,0.925467626,0.914436451,0.978417266
sensitivity,0.582654528,0.629611883,0.581217058,0.598466699,0.596070915,0.6272161,0.572113081,0.891710589
specificity,0.953685445,0.95890849,0.953525556,0.955444225,0.955177743,0.958642008,0.952512924,0.988061611
precision,0.583213429,0.630215827,0.58177458,0.599040767,0.596642686,0.627817746,0.572661871,0.892565947
f_measure,0.582933845,0.62991371,0.581495686,0.598753595,0.596356663,0.627516779,0.572387344,0.892138063
mcc,0.536568552,0.588771191,0.534970512,0.554146992,0.551483592,0.586107791,0.524849592,0.880147145
npv,0.9535838,0.958806288,0.953423928,0.955342393,0.955075939,0.958539835,0.952411404,0.987956302
fpr,0.046314555,0.04109151,0.046474444,0.044555775,0.044822257,0.041357992,0.047487076,0.011938389
fnr,0.417345472,0.370388117,0.418782942,0.401533301,0.403929085,0.3727839,0.427886919,0.108289411
fdr,0.416786571,0.369784173,0.41822542,0.400959233,0.403357314,0.372182254,0.427338129,0.107434053
